bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,price
3,1.5,1340,7912,1.5,0,0,3,1340,0,1955,2005,313000.0
5,2.5,3650,9050,2.0,0,0,4,3370,280,1921,0,238400.0
3,2.0,1930,11947,1.0,0,0,4,1930,0,1966,0,342000.0
3,2.25,2000,8030,1.0,0,0,4,1000,1000,1963,0,420000.0
4,2.5,1940,10500,1.0,0,0,4,1140,800,1976,1992,550000.0
2,1.0,880,6380,1.0,0,0,3,880,0,1938,1994,490000.0
2,2.0,1350,2560,1.0,0,0,3,1350,0,1976,0,353000.0
4,2.5,2710,35868,2.0,0,0,4,2710,0,1989,0,
3,2.5,2430,88426,1.0,0,0,4,1570,860,1985,0,
4,2.0,1520,6200,1.5,0,0,3,1520,0,1945,0,
3,1.75,1710,7320,1.0,0,0,3,1710,0,1948,0,
4,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,0,
3,1.75,2330,14892,1.0,0,0,3,1970,360,1980,0,
3,1.0,1090,6435,1.0,0,0,4,1090,0,1955,0,
5,2.75,2910,9480,1.5,0,0,3,2910,0,1939,0,
3,1.5,1200,9720,1.0,0,0,4,1200,0,1965,0,
